               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.047108,            0.036199,            0.012314,             0.53859,             0.39959,             0.35363,             0.15972,            0.047564,             0.02729,           0.0099104,            0.004258,            0.004258,            0.004258
                  60,            0.049027,            0.035321,            0.012227,             0.65137,             0.34834,              0.3656,             0.15358,            0.047826,             0.02718,           0.0091519,            0.004159,            0.004159,            0.004159
                  61,            0.049109,            0.036177,             0.01358,             0.52474,             0.33883,             0.33958,             0.14478,            0.048168,            0.027466,           0.0084109,             0.00406,             0.00406,             0.00406
                  62,            0.047266,             0.03503,            0.013358,             0.56596,             0.39392,             0.36927,             0.15869,            0.047144,            0.027323,           0.0099875,            0.003961,            0.003961,            0.003961
                  63,            0.047079,            0.034615,            0.012162,              0.5671,             0.30446,             0.36507,             0.15471,            0.048111,             0.02643,           0.0091545,            0.003862,            0.003862,            0.003862
                  64,            0.047733,            0.037156,            0.011781,             0.54414,             0.39448,             0.40229,              0.1693,             0.04697,            0.026298,           0.0093367,            0.003763,            0.003763,            0.003763
                  65,            0.047807,            0.036107,            0.011888,               0.353,             0.45036,              0.3907,             0.17495,            0.047864,            0.027255,           0.0085456,            0.003664,            0.003664,            0.003664
                  66,            0.047135,            0.034744,            0.012563,             0.62474,             0.30191,             0.32304,             0.13972,            0.047706,            0.028147,           0.0097354,            0.003565,            0.003565,            0.003565
                  67,            0.046325,             0.03463,            0.011758,             0.57432,             0.44535,             0.48935,             0.22458,             0.04615,            0.026573,             0.00857,            0.003466,            0.003466,            0.003466
                  68,            0.047006,            0.037363,            0.011205,             0.69584,             0.34701,             0.47055,             0.20914,            0.045618,            0.026617,           0.0089066,            0.003367,            0.003367,            0.003367
                  69,            0.046206,            0.033488,            0.012023,             0.70546,             0.34279,             0.42251,              0.1889,             0.04645,            0.026459,           0.0091749,            0.003268,            0.003268,            0.003268
                  70,            0.045476,            0.035634,            0.011758,             0.73408,             0.33917,             0.42386,             0.19139,            0.046197,            0.027095,           0.0085696,            0.003169,            0.003169,            0.003169
                  71,            0.045357,            0.034994,            0.011626,             0.68242,             0.37107,             0.42408,             0.18635,            0.046175,            0.026429,           0.0090999,             0.00307,             0.00307,             0.00307
                  72,            0.045614,            0.034785,            0.011862,             0.30779,             0.42535,             0.36223,             0.16321,            0.047558,            0.026757,           0.0093533,            0.002971,            0.002971,            0.002971
                  73,            0.045458,            0.036026,            0.011486,             0.43917,             0.47383,              0.4261,             0.19518,            0.046063,            0.026574,           0.0089736,            0.002872,            0.002872,            0.002872
                  74,            0.045097,            0.034233,            0.011175,             0.39453,             0.49733,             0.46122,             0.21055,            0.045112,            0.026193,           0.0081703,            0.002773,            0.002773,            0.002773
                  75,            0.044983,            0.035764,            0.011326,             0.31647,             0.39125,             0.34201,             0.15941,            0.046725,            0.026564,             0.01054,            0.002674,            0.002674,            0.002674
                  76,            0.045193,             0.03533,            0.011464,             0.38204,              0.4304,             0.39188,             0.17196,            0.047496,            0.026243,           0.0095555,            0.002575,            0.002575,            0.002575
                  77,            0.045024,            0.032026,            0.011714,             0.42149,             0.50578,             0.43654,             0.20541,            0.047623,            0.026438,           0.0094315,            0.002476,            0.002476,            0.002476
                  78,            0.043955,             0.03386,            0.010672,             0.45129,             0.44214,              0.4076,             0.17652,            0.046193,            0.027669,           0.0083599,            0.002377,            0.002377,            0.002377
                  79,            0.045344,            0.034927,            0.011802,             0.52464,             0.42177,             0.44611,              0.2044,            0.045459,            0.026205,            0.009707,            0.002278,            0.002278,            0.002278
                  80,            0.044562,            0.033745,            0.010984,             0.46775,             0.53192,             0.46985,             0.21385,            0.045341,            0.025798,           0.0079369,            0.002179,            0.002179,            0.002179
                  81,            0.044561,             0.03515,           0.0096601,             0.51632,             0.48469,             0.50357,             0.22921,            0.045138,            0.026196,           0.0077703,             0.00208,             0.00208,             0.00208
                  82,            0.043443,            0.033896,           0.0094588,             0.50864,             0.51216,             0.48593,             0.22689,            0.045442,            0.026096,           0.0077837,            0.001981,            0.001981,            0.001981
                  83,            0.043493,            0.033093,           0.0094319,             0.37942,             0.55254,             0.46262,             0.21554,            0.045421,            0.025854,           0.0078868,            0.001882,            0.001882,            0.001882
                  84,            0.043979,            0.034471,            0.010901,             0.46974,              0.5198,             0.47214,             0.21532,               0.045,            0.026803,           0.0081729,            0.001783,            0.001783,            0.001783
                  85,             0.04393,            0.033457,           0.0099886,             0.40172,             0.49554,             0.48723,               0.218,            0.044536,            0.026433,           0.0076588,            0.001684,            0.001684,            0.001684
                  86,            0.043665,            0.033135,            0.010241,             0.52383,             0.43721,             0.46248,             0.21077,            0.045458,            0.026031,           0.0084634,            0.001585,            0.001585,            0.001585
                  87,            0.043681,            0.033898,            0.010396,             0.44398,             0.46791,              0.4417,             0.19888,            0.045242,            0.026552,           0.0087371,            0.001486,            0.001486,            0.001486
                  88,            0.043649,             0.03592,           0.0099424,             0.46497,             0.46004,             0.43107,             0.19322,            0.045066,             0.02666,           0.0090068,            0.001387,            0.001387,            0.001387
