               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.054655,            0.039282,            0.017121,             0.39038,             0.33048,             0.27108,             0.11236,            0.051894,            0.029926,            0.011496,            0.005347,            0.005347,            0.005347
                  49,            0.053096,            0.038244,            0.017073,             0.64626,             0.31625,             0.32508,             0.12856,            0.050756,            0.028545,            0.011241,            0.005248,            0.005248,            0.005248
                  50,            0.053815,            0.037596,            0.016477,             0.53059,              0.2558,             0.24075,            0.088661,            0.053168,            0.029308,            0.015212,            0.005149,            0.005149,            0.005149
                  51,            0.052898,            0.039339,            0.015503,             0.53119,             0.27545,             0.30892,              0.1165,            0.052655,             0.02727,            0.011181,             0.00505,             0.00505,             0.00505
                  52,            0.053589,            0.037282,            0.016825,             0.57065,             0.36066,             0.29387,             0.11388,            0.053405,            0.028263,            0.012527,            0.004951,            0.004951,            0.004951
                  53,            0.053108,            0.036877,            0.016333,             0.42287,             0.36876,             0.32148,             0.13754,            0.049758,            0.028141,            0.011505,            0.004852,            0.004852,            0.004852
                  54,            0.052959,            0.038126,            0.015238,             0.50264,             0.32305,             0.30013,             0.13314,            0.049888,             0.02799,             0.01052,            0.004753,            0.004753,            0.004753
                  55,            0.051765,            0.037986,            0.015641,             0.54861,              0.2966,             0.26775,             0.11318,            0.049638,            0.028802,            0.010942,            0.004654,            0.004654,            0.004654
                  56,            0.050802,            0.038053,            0.014775,             0.56539,             0.33114,             0.33681,             0.14701,             0.04931,             0.02781,            0.010166,            0.004555,            0.004555,            0.004555
                  57,            0.050522,            0.038099,            0.015225,             0.43884,              0.3803,             0.32652,             0.13403,            0.049864,            0.027347,            0.010409,            0.004456,            0.004456,            0.004456
                  58,            0.051474,            0.037551,            0.015166,             0.46889,             0.37545,             0.33907,             0.14916,            0.048611,            0.027685,            0.011049,            0.004357,            0.004357,            0.004357
                  59,            0.050317,            0.035805,            0.015063,             0.61853,             0.32778,             0.34069,             0.14212,            0.048372,            0.027918,            0.010278,            0.004258,            0.004258,            0.004258
                  60,            0.050755,             0.03658,            0.014096,             0.52897,             0.31162,             0.32939,             0.14003,             0.04813,            0.028155,            0.010046,            0.004159,            0.004159,            0.004159
                  61,            0.049089,            0.035368,             0.01398,             0.63454,             0.31177,              0.3141,              0.1345,            0.049822,            0.028172,            0.011118,             0.00406,             0.00406,             0.00406
                  62,            0.049899,            0.037072,            0.013911,             0.71802,              0.3002,              0.3467,             0.14586,            0.049167,            0.027677,            0.010016,            0.003961,            0.003961,            0.003961
                  63,            0.048909,            0.036866,            0.014386,             0.53681,             0.33948,             0.34978,             0.14541,             0.04826,            0.027131,           0.0099864,            0.003862,            0.003862,            0.003862
                  64,            0.049461,            0.036698,             0.01474,             0.52574,             0.39288,             0.36472,             0.15845,            0.047637,            0.027329,            0.010645,            0.003763,            0.003763,            0.003763
                  65,            0.048168,            0.035314,            0.014238,             0.50334,             0.38022,             0.35777,             0.14187,            0.049893,            0.027358,            0.009539,            0.003664,            0.003664,            0.003664
                  66,            0.047971,            0.036456,            0.013982,             0.50387,             0.41982,             0.35411,             0.14317,            0.048166,            0.027338,            0.010797,            0.003565,            0.003565,            0.003565
